Название,Жанр,Режиссер,Страна,Год,IMDB
Будущий фильм Пола Томаса Андерсона,,Пол Томас Андерсон,США,2025, 
Грязная игра,[d],Шейн Блэк,США,, 
История золотой рыбки,короткометражный фильм,[en],Франция,1959,6.8
К северу через северо-запад,"приключенческо,шпионский,комедийный,триллер",Альфред Хичкок,США,17 июля,8.3
Исправленному верить,детектив,Виктор Жилин,СССР,1959,5.8
История влюблённых в Нанива,мелодрама,Тому Утида,Япония,,7.4
Интимный разговор,романтическая комедия,уточнить,США,1959,7.4
История монахини,драма,Фред Циннеман,США,1959,7.5
Кавалеристы,"вестерн,военный,приключенческий",Джон Форд,США,1959,7.1
Индийская гробница,приключенческий фильм,Фриц Ланг,"Франция,Италия",1959,6.6
Инспекция пана Анатоля,криминальная комедия,Ян Рыбковский,Польша,1959,6.4
Илзе,,Роланд Калныньш,СССР,1959,6.2
Индия,документальный,Роберто Росселлини,"Италия,Франция",1959,7.2
Имитация жизни,мелодрама,Дуглас Сёрк,США,1959,7.8
Иванна,"военный фильм,драма",Виктор Ивченко,СССР,1959,6.5
Золотой эшелон,"драма,военный фильм",Илья Гурин,СССР,1959,6.2
Землеройки-убийцы,"ужасы,фантастика,триллер,приключения",Рэй Келлогг,США,1959,4.1
Зелёный фургон,Приключенческий фильм,Генрих Габай,СССР,1959,6.6
Злая красная планета,научная фантастика,"Иб Мельхиор,ru",США,1959,5.2
Зелёные поместья,"романтический фильм,[1],[d],драматический фильм","Мел Феррер,[1]",США,1959,5.3
Загадочный пассажир,драма,Ежи Кавалерович,Польша,1959,7.7
Жизнь прошла мимо,драма,Владимир Басов,СССР,1959,5.9
Заре навстречу,"драма, экранизация, историко-революционный",Татьяна Лукашевич,СССР,1959, 
Завтрак на траве,кинокомедия,Жан Ренуар,Франция,1959,6.5
Живые герои,киноальманах,"Марионас Гедрис,Балис Браткаускас,Арунас Жебрюнас,Витаутас Жалакявичюс",СССР,1959,8.4
Жестокость,криминальная драма,Владимир Скуйбин,СССР,1959,7.5
Жеребёнок,драма,Владимир Фетин,СССР,1959,6.4
Жестокое лето,драма,Валерио Дзурлини,"Италия,Франция",1959,7.3
Жажда,"драма,военный",Евгений Ташков,СССР,1959,7.1
Душители из Бомбея,"Детектив,Триллер",Теренс Фишер,Великобритания,1959,6.2
Дорога школяров,драма,Мишель Буарон,"Франция,Италия",1959,6.4
Дыра в голове,"комедия,драма",Фрэнк Капра,США,1959,6.2
Друзья-товарищи,"приключения,детский фильм",Валентин Павловский,,1959, 
Дорога уходит вдаль,киноповесть,Анатолий Вехотко,СССР,1959, 
Дом на холме призраков,фильм ужасов,Уильям Касл,США,1959,6.8
Дневник Анны Франк,"драматический фильм,[1],[2],биографический фильм,военный фильм,[d],история взросления",Джордж Стивенс,США,18 марта,7.4
Доброе утро,"комедия,драма",Ясудзиро Одзу,Япония,1959,7.8
Аватар 5,"эпический фильм,научная фантастика,боевик,приключения,фэнтези",Джеймс Кэмерон,США,Википедия:К удалению/29 ноября 2022, 
Бешенство,триллер,Дмитрий Дьяченко,Россия,2023,6.2
Бессмертная гвардия 2,"боевик,кинофантастика",Виктория Махони,США,2023, 
Бесконечный бассейн,"триллер,научная фантастика",Брэндон Кроненберг,"Канада,Хорватия,Венгрия,Франция",2023,6.0
«Битва в проливе Норян»,"история,военный,биография",Ким Ханмин,Южная Корея,2023,6.7
Белые люди не умеют прыгать,комедия,Калматик,США,2023,5.1
Белый список,"драма,детектив,психологический триллер",Алиса Хазанова,Россия,,6.1
Белая птица: Новое чудо,"военный фильм,драматический фильм,[d]",Марк Форстер,США,2023,7.6
Бекки в ярости,"боевик,триллер","Мэтт Энджел , Сюзанн Кут",США,,6.1
Без ответа,"романтический,приключенческий,комедийный боевик",Декстер Флетчер,США,2023,5.8
Беглец,,Рик Роман Во,,2023,6.1
Бедные-несчастные,"фэнтези,чёрная комедия",Йоргос Лантимос,"США,Великобритания,Ирландия",2023,8.4
Башня без тени,драматический фильм,Чжан Люй,Китай,2023,6.7
Барби,фэнтезийная комедия,Грета Гервиг,США,2023,6.9
Аферисты,криминальный триллер,Бенджамин Карон,США,2023,6.7
Анатомия падения,драма,Жюстин Трие,Франция,2023,7.8
Арт-колледж 1994,,Liu Jian,Китай,2023,6.2
Астрал 5: Красная дверь,фильм ужасов,Патрик Уилсон,США,2023,5.5
Астерикс и Обеликс: Поднебесная,"комедия,приключения",Гийом Кане,Франция,,5.1
Банель и Адама,драма,Рамата-Тулай Си,Франция,2023,6.3
Ампир V,"городское фэнтези,сатира",Виктор Гинзбург,Россия,ETH,5.0
Баба Яга спасает мир,"фэнтези,семейная комедия",Карен Захаров,Россия,2023,4.4
Американское чтиво,драматический фильм,Корд Джефферсон,США,8 сентября,7.9
Аквамен и потерянное царство,,Джеймс Ван,США,2023,5.8
Адажио,[d],Стефано Соллима,Италия,2023,6.8
1984,антиутопия,Диана Ринго,"Финляндия,Россия",2023,6.4
Айлин,"[d],[d]",Уильям Олдройд,"США,Великобритания",2023,6.1
1242: Врата на Запад,,Петер Шоош,Венгрия,2023, 
1993,драматический фильм,Александр Велединский,Россия,2023,6.1
65,"научно-фантастический,остросюжетный боевик","Скотт Бек,Брайан Вудс","США,[5]",,5.4
14+: Продолжение,мелодрама,Андрей Зайцев,Россия,2023,3.1
Бодибилдер,,Андрей Грачёв,Россия,2022,5.4
20 дней в Мариуполе,"документальный фильм,военный фильм",Мстислав Чернов,Украина,Российско-украинская война (c 2014),8.6
Потомки Жёлтого императора,драма,Бай Ке,Китайская Республика,1956, 
(Не)идеальные роботы,"комедия,фантастика,мелодрамма","Энтони Хайнс,Каспер Кристенсен",США,2023,5.5
Блондинка,"биографическая,психологическая драма",Эндрю Доминик,США,2022,5.5
Близко,драма,Лукас Донт,"Бельгия,Нидерланды,Франция",2022,7.8
Битва при Чосинском водохранилище II,Боевик,Данте Лам,Китай,,5.6
Билет в рай,романтическая комедия,Ол Паркер,США,2022,6.1
Блеяние,короткометражный фильм,Йоргос Лантимос,Греция,2022,7.8
Бессмертный,"боевик,[1],[2],[…],военный фильм,[1],[2],[…]","Ялмари Хеландер,[3]","Финляндия,[1],[6],[…],США",9 сентября,6.9
Белый слон,"боевик,триллер,криминал",Джесси Джонсон,США,2022,4.4
Белый шум,"[d],комедийный фильм,[d],[d]",Ноа Баумбах,США,2022,5.7
Песня табунщика,Музыкальная комедия,Андрей Фролов,СССР,1956, 
Биосфера,,Мел Эслин,США,2022,5.5
«Битва у острова Хансан»,"история,военный,биография",Ким Ханмин,Южная Корея,,6.6
Безупречная комната,психологический триллер,Мукунда Майкл Дьюил,США,2022,5.1
Банши Инишерина,"чёрная,трагикомедия",Мартин Макдонах,"Ирландия,США,Великобритания",2022,7.7
Бардо,драматический фильм,"Алехандро Гонсалес Иньярриту,[1]",Мексика,1 сентября,6.7
Без медведей,драматический фильм,Джафар Панахи,Иран,9 сентября,7.3
"Аргентина, 1985","драматический фильм,юридическая драма,историческая драма,исторический фильм",Сантьяго Митре,Аргентина,2022,7.6
Аферист из Tinder,"документальный фильм,настоящее преступление",Фелисити Моррис,Великобритания,2 февраля,7.1
Артек. Большое путешествие,"комедия,приключения,фантастика",Карен Захаров,Россия,2022,4.2
Афина,"Триллер,драма",Ромен Гаврас,Франция,2022,6.8
Амстердам,,Дэвид Оуэн Расселл,США,2022,6.1
Аполлон-10½: Приключение космического века,"[d],научно-фантастический фильм,драматический фильм,подростковый фильм",Ричард Линклейтер,США,2022,7.2
Американец,драматический фильм,Майкл А. Гурджиан,Армения,2022,7.3
Аманда,"драматический фильм,[2]",Каролина Кавалли,Италия,5 сентября,6.6
Анчартед: На картах не значится,,Рубен Флейшер,США,2022,6.3
Аманат,"биография,история,военный,драма","Антон Сиверс,Рауф Кубаев",Россия,2022,6.6
Айта,"драма,триллер",Степан Бурнашёв,Россия,2022,6.6
Новая повесть о доме Тайра: Сидзука и Ёсицунэ,"дзидайгэки,историческая,драма",Кодзи Сима,Япония,, 
«Аватар: Путь воды»,"эпический фильм,научная фантастика,боевик,приключения",Джеймс Кэмерон,США,,7.6
Альма и Оскар,"драма,биография",Дитер Бернер,"Австрия,Германия,Швейцария,Чехия",20 ноября,6.2
1941. Крылья над Берлином,"биография,мелодрама",Константин Буслов,Россия,2022,5.6
Наша родина,документальный фильм,[eu],Франция,, 
Аббатство Даунтон: Новая эра,историческая драма,[en],"Великобритания,США",2022,7.4
13 изгнаний дьявола,фильм ужасов,Хакобо Мартинес,,2022,4.4
Горизонты: Американская сага,вестерн,Кевин Костнер,США,28 июня, 
Голда. Судный день,"драматический фильм,биографический фильм",Гай Наттив,"Великобритания,США",20 февраля,6.0
Гладиатор 2,пеплум,Ридли Скотт,"США,Великобритания",2024, 
Гарольд и фиолетовый мелок,"фэнтези,семейный",Карлус Салданья,США,, 
Годзилла и Конг: Новая империя,фильм о монстрах,Адам Вингард,США,2024, 
Всё закончится с нами,романтика,Джастин Бальдони,США,2024, 
Главы государств,комедийный боевик,Илья Викторович Найшуллер,США,, 
Воображаемые друзья,"комедийный фильм,[1],кинофантастика,[1],приключенческий фильм,[1],фэнтезийный фильм,музыкальный фильм,[d],игровое кино",Джон Красински,США,15 мая, 
Ворон,"Супергероика,неонуар,триллер,городское фэнтези",Руперт Сандерс,США,2024, 
Волшебники!,,Дэвид Мишо,"США,Австралия",, 
Волшебник Изумрудного города,фэнтези,Игорь Волошин,Россия,2024, 
Выгон,драма,Нора Финшелдт,"Германия,Великобритания",2024,8.7
Винни-Пух: Кровь и мёд 2,слэшер,Рис Фрейк-Уотерфилд,Великобритания,2024, 
Возвращаюсь к нормальной жизни,"биографический фильм,драматический фильм,музыкальный фильм",Сэм Тейлор-Вуд,"США,Великобритания",2024, 
Веном 3,супергеройский фильм,Келли Марсел,США,2024, 
Вид доброты,фильм-антология,Йоргос Лантимос,,2024, 
Волки,триллер,Джон Уоттс,США,20 сентября, 
Бременские музыканты,,Алексей Нужный,Россия,,5.1
Бэмби: Расплата,слэшер,Дэн Аллен,Великобритания,2024, 
Бордерлендс,"приключения,боевик",Элай Рот,США,2024, 
Битлджус Битлджус,фэнтези,Тим Бёртон,США,2024, 
Белоснежка и злая королева,фэнтези,,США,2024, 
Балерина,,Лен Уайзман,США,2024, 
Боб Марли: Одна любовь,байопик,Рейнальдо Маркус Грин,США,2024, 
Маяка с реки Бикин,документальный фильм,Юлий Файт,СССР,1958, 
Аргайл,"шпионский,комедийный боевик",Мэттью Вон,"Великобритания,США",2024,6.0
Астронавт,фантастика,Юхан Ренк,США,2024, 
Большая гонка. Лянча против Ауди,исторический фильм,Стефано Мордини,"Италия,Великобритания",2024,5.8
Американская звезда,триллер,Гонсало Лопес-Гальего,"США,Великобритания",2024,5.3
Байкеры,"драматический фильм,[d],байкерский фильм",Джефф Николс,США,31 августа,7.6
20 тысяч разновидностей пчёл,"драматический фильм,[d]",Эстибалис Урресола Солагурен,Испания,2023,6.9
Подглядывающий,"драма,фильм ужасов,триллер",Майкл Пауэлл,Великобритания,1960,7.6
Под одним небом,"киноновеллы, мелодрама, драма, экранизация",Лана Гогоберидзе,СССР,1961,7.1
Подвиги Геракла: Геракл в царстве теней,"пеплум,фэнтези,музыка к фильму", ,Италия,1961,6.2
Планета бурь,фантастика,П. Клушанцев,СССР,,6.3
Песня о сизом голубе,"военный фильм, драма",Станислав Барабаш,Чехословакия,1961,7.3
Песня зовёт,"киноповесть, музыкальный",Шакен Айманов,СССР,1961, 
Первый рейс к звёздам,научно-популярный,Григорий Косенко,СССР,1961,7.9
Пёс Барбос и необычный кросс,комедия,Леонид Гайдай,СССР,"На Дерибасовской хорошая погода, или На Брайтон-Бич опять идут дожди",7.7
Перевал,драма,Алексей Сахаров,СССР,1961,7.3
Первые испытания,драма,Владимир Корш-Саблин,СССР,1961,5.3
Осень в семье Кохаягава,драма,Ясудзиро Одзу,Япония,,7.7
Орлиный остров,приключения,",, ",СССР,1961,5.6
Парни одной деревни,драма,Юри Мюйр,СССР,1961,6.2
Одноглазые валеты,вестерн, (заменён),США,30 марта,7.1
"Один, два, три",комедия,Билли Уайлдер,США,1961,7.9
Один из многих,драма,Астрид Хеннинг-Енсен,Дания,1961, 
Нюрнбергский процесс,драма,Стэнли Крамер,США,1961,8.3
Обманутые,драма,",, ",СССР,1961, 
Ночь,драма,Микеланджело Антониони,"Италия,Франция",,8.0
Король бубён,игровое кино,Борис Эпштейн,СССР,1958, 
Нулевой фокус,криминальная драма,Ёситаро Номура,Япония,,7.0
Ночной пассажир,"роуд-муви,экранизация",Манос Захариас,СССР,1961,7.2
Ночь без милосердия,драма,Александр Файнциммер,СССР,1961,6.0
Ночной гость,"психологическая драма, экранизация",Отакар Вавра,Чехословакия,1961,6.9
Невинные,"драма,фильм ужасов",Джек Клейтон,"Великобритания,США",1961,7.8
Незнакомец,"киноповесть, драма, производственный фильм",Йоханнес Арпе,ГДР,1961, 
Неприкаянные,"драматический,нео-вестерн",Джон Хьюстон,США,1961,7.2
Наша улица,психологическая драма,Али-Саттар Атакишиев,СССР,1961,7.9
Наш общий друг,"драма, экранизация",Иван Пырьев,СССР,1961,6.1
На берегах Ингури,"киноповесть, драма",Давид Рондели,СССР,,6.2
Мошенник,"спортивная,мелодрама",Роберт Россен,США,1961,8.0
Мотра,"токусацу,фантастика,фэнтези",Исиро Хонда,Япония,1961,6.5
Мужчина в нашем доме,"драма,триллер,исторический фильм",Генри Баракат,Египет,1961,7.5
Монголы,"приключенческий фильм,боевик,драма","Андре де Тот,Риккардо Фреда,Леопольдо Савона","Италия,Франция",1961,5.3
"Мишка, Серёга и я",киноповесть,Юрий Победоносцев,СССР,1961,6.0
Миямото Мусаси,"дзидайгэки,историческая,драма",Тому Утида,Япония,1961,7.1
Месть простофиль,"детективная,кинокомедия",Жиль Гранжье,"Франция,Италия",1961,7.0
Мать Иоанна от ангелов,драма,Ежи Кавалерович,Польша,1961,7.5
Минувшее время,драма,", Мечислав Вонсковский",Польша,1961,5.9
Месть Марсельца,драма,Жан Беккер,"Франция,Италия",1961,6.4
Мальчик и голубь,новелла,Евгений Осташенко,СССР,1961,7.3
Мир входящему,драма,"Александр Алов,Владимир Наумов",СССР,1961,7.4
Мистер Сардоникус,Фильм ужасов,Уильям Касл,США,1961,6.6
Мадам Беспечность,"драма,кинокомедия,мелодрама,военный фильм",Кристиан-Жак,"Франция,Испания,Италия",1961,6.0
Любовник на пять дней,"мелодрама,комедия",Филипп де Брока,"Италия,Франция",1961,6.2
Любушка,драма,Владимир Каплуновский,СССР,1961,6.4
Лола,драма,Жак Деми,"Франция,Италия",1961,7.5
Лучшие враги,"военный,комедия",Гай Хэмилтон,,1961,6.7
Ловушка для родителей,"романтическая комедия,комедия о возобновлении брака,детский фильм,[d],драматический фильм,музыкальный фильм",Дэвид Свифт,США,12 июня,7.2
Любите ли вы Брамса?,"драма,мелодрама",Анатоль Литвак,"США,Франция",1961,7.0
Лесная песня,"драма,фэнтези,экранизация",Виктор Ивченко,СССР,1961,7.8
"Кто вы, доктор Зорге?",драма,Ив Сиампи,"Франция,Италия,Япония",1961,6.4
Красотки,"музыкальная,романтическая комедия","Тао Цинь, , , (",Гонконг,1961,6.6
Константин Великий,"пеплум,приключенческий фильм,драма,мелодрама",Лионелло Де Феличе,"Италия,Югославия",1961,5.8
"Леон Морен, священник",драма,Жан-Пьер Мельвиль,"Франция,Италия",1961,7.5
Костры горят,,Юрий Кавтарадзе,СССР,1961,7.6
Красный женский отряд,военный,Се Цзинь,,1961,6.9
Командировка,драма,Юрий Егоров,СССР,1961,6.4
Не как чужой,драма,Стэнли Крамер,США,1955,6.7
Невеста монстра,"фильм ужасов,фантастика",Эд Вуд,США,1955,4.1
Конечная станция,документальный,Джон Шлезингер,Великобритания,1961,7.1
Колосс Родосский,пеплум,Серджо Леоне,"Испания,Италия,Франция",1961,5.8
Нагая улица,Фильм нуар,Максвелл Шейн,США,1955,6.5
Наполеон: Путь к вершине,фильм-биография,Саша Гитри,"Франция,Италия",1955,6.0
Музыка с Марса,музыкальная комедия,", ",Чехословакия,1955,5.6
Мужские разборки,"фильм-ограбление,фильм нуар,драма,триллер",Жюль Дассен,Франция,1955,8.1
Мошенничество/Мошенники,драма,Федерико Феллини,"Италия,Франция",1955,7.5
Море зовёт,драматический фильм,Владимир Браун,СССР,1955,5.9
Михайло Ломоносов,историко-биографический,Александр Иванов,СССР,1955,6.6
Мистер Робертс,"драма,комедия","Джон Форд,Мервин Лерой",США,1955,7.6
Мексиканец,драматический фильм,Владимир Каплуновский,СССР,1955,6.5
Мистер Аркадин,триллер,Орсон Уэллс,"Франция,Испания,Швейцария",1955,7.1
Месть Твари,"фантастика,ужасы",Джек Арнольд,США,1955,5.6
«Матрос Чижик»,драма,Владимир Браун,СССР,1955,7.1
Мать,"драма, экранизация",Марк Донской,СССР,1955,6.9
Марти,мелодрама,Делберт Манн,США,1955,7.7
Марш для императора,мелодрама,Эрнст Маришка,Австрия,1955,5.9
Мамочка не позволяет,документальный,"Карел Рейш,Тони Ричардсон",Великобритания,1955,6.6
Максим Перепелица,комедия,Анатолий Граник,СССР,1955,7.6
Ляна,комедия,Борис Барнет,СССР,Марголит Е. Я,6.3
Любовь и слёзы,мелодрама,Камаль аш-Шейх,Египет,1955,6.1
Конец старой Берёзовки,киноповесть,Виктор Эйсымонт,СССР,1960, 
Людвиг II: Блеск и падение короля,исторический фильм-биография,Хельмут Койтнер,ФРГ,ФРГ,6.9
Люби меня или покинь меня,"драма,музыкальный",Чарльз Видор,США,1955,7.1
Любовь — самая великолепная вещь на свете,мелодрама,Генри Кинг,США,1955,6.4
Лжецарь,"исторический,драма",Велимир Стоянович,СФРЮ,1955,7.5
Поворот,киноповесть,Борис Ермолаев,СССР,1967, 
Лурджа Магданы,драма,"Тенгиз Абуладзе,Резо Чхеидзе",СССР,1955,7.7
Лето,мелодрама,Дэвид Лин,"Великобритания,США,Италия",1955,7.1
Язык животных,научно-популярный фильм,Феликс Соболев,СССР,1967, 
Леди Годива из Ковентри,"драматический фильм,[1],романтический фильм","Артур Любин,[1]",США,1955,5.5
Лола Монтес,байопик,Макс Офюльс,Франция,ФРГ,7.2
Левая рука Бога,драма,Эдвард Дмитрык,США,1955,6.4
Крушение эмирата,"драма,военный фильм","Владимир Басов,Латиф Файзиев",СССР,1955,6.2
Крысы,драма,Роберт Сиодмак,Западная Германия,1955,6.7
Король-динозавр,Фантастика,Берт Айра Гордон,США,1955,2.2
Убийцы из космоса,"научная фантастика,ужасы",Уильям Уайлдер,США,1954,3.5
Кровавая дорога,"драма, военный",", , ",Норвегия,1955,6.2
Трагедия острова Сайпан,фильм-драма,Киёси Кусуда,Япония,, 
Торжественное открытие храма наслаждений,"фильм ужасов,[1],фэнтезийный фильм,[1]",Кеннет Энгер,США,1954,7.0
Убийство по договорённости,Фильм нуар,Теренс Фишер,Великобритания,1954,6.2
Три любви,фильм-драма,Масаки Кобаяси,Япония,,6.2
Тварь из Чёрной Лагуны,фильм ужасов,Джек Арнольд,США,1954,6.9
Твоё имя. Часть III,мелодрама,Хидэо Ооба,Япония,,6.5
Тайна Элен Маримон,"драма,мелодрама,военный фильм",Анри Калеф,"Франция,Италия",1954,6.7
Сын пастуха,"драма,экранизация",Рафаил Перельштейн,СССР,1954,4.4
Такие разные судьбы,кинокомедия,Анри Верней,Франция,1954,6.7
Тайна Инков,Приключения,Джерри Хоппер,США,1954,6.0
Тайна горного озера,"приключения,сказка",Яков Кочарян,СССР,1954,4.8
Страх,драма,Роберто Росселлини,"Германия,Италия",1954,6.7
Странствия Одиссея,пеплум,"Марио Камерини,Марио Бава",Италия,1954,6.6
Стрекоза,комедия,"Семён Долидзе,Леван Хотивари",СССР,1954,6.8
Смотрины,сатирическая комедия,Лаэрт Вагаршян,СССР,1954,6.4
Соблазнитель,"комедийный фильм,[1]","Франко Росси,[1],[2]",Италия,1954,6.3
Соль земли,драма,Герберт Биберман,США,1954,7.4
Служебная лестница,мелодрама,"Карло Рим,ru",Франция,1954,5.9
Семь самураев,"дзидайгэки, тямбара",Акира Куросава,Япония,1954,8.6
Сломанное копьё,"[d],[1],[2],[…],драматический фильм",Эдвард Дмитрык,США,1954,6.9
Серебряная жила,вестерн,Аллан Двон,США,1954,6.8
Семь невест для семерых братьев,"приключенческий фильм,комедия,драма,семейный фильм,музыкальный фильм,мелодрама,вестерн",Стэнли Донен,США,1954,7.3
Семейная сцена,комедия,Андре Бертомьё,Франция,1954,5.6
Санти и Вина,драма,Раттана Пестонжи,,1954,6.5
Сабрина,романтическая комедия,Билли Уайлдер,США,1954,7.6
Свидетель убийства,Фильм нуар,Рой Роулэнд,США,1954,6.6
Свадьба,"комедия, экранизация",Антонио Петруччи,Италия,1954,5.7
Самурай: Путь воина,"драма,приключения",Хироси Инагаки,Япония,1954,7.4
Рыцарь ночи,"фильм ужасов,мелодрама",Робер Дарен,Франция,1954,5.7
Рассвет,драматический фильм,Виктор Туржанский,ФРГ,1954, 
Светлое Рождество,"романтическая комедия,музыкальный фильм",Майкл Кёртис,США,1954,7.5
Ромео и Джульетта,фильм-балет,"Лео Арнштам,Леонид Лавровский",СССР,1954,7.5
Река не течёт вспять,"вестерн,экшн",Отто Преминджер,США,1954,6.6
Робинзон Крузо,приключение,Луис Бунюэль,Мексика,1954,6.7
Пробуждение,драма,Майкл МакКарти,"Великобритания,США",1954,7.9
Путешествие в Италию,драма,Роберто Росселлини,"Италия,Франция",1954,7.3
Принцесса Канарская,"исторический, приключенческий, военный","Паоло Моффа, Карлос Серрано Де Осма","Италия,Испания",1954,5.0
Рапсодия,мелодрама,Чарльз Видор,США,1954,6.2
Полицейский-мошенник,Фильм нуар,Рой Роулэнд,США,1954,6.6
Потому что ты моя,музыкальный фильм,Александр Холл,США,25 сентября,5.9
Пробуждение,"детский фильм,драматический фильм",Сатьен Бос,Индия,1954,7.9
Повесть о лесном великане,"киноповесть,семейный",Александр Згуриди,СССР,1954,6.3
Пол-акра ада,нуар,Джон Х. Ауэр,США,1954,6.3
Поздние хризантемы,фильм-драма,Микио Нарусэ,Япония,,7.4
Под фригийской звездой,"драма,соцреализм",Ежи Кавалерович,Польша,1954,6.3
Пляж,комедия,Альберто Латтуада,Италия,1954,6.9
Страницы Сталинградской битвы,многосерийный телевизионный хроникально-документальный фильм,,СССР,1967, 
Старик и ребёнок,драма,Клод Берри,Франция,1967, 
Поездка по кривой дороге,Фильм нуар,Ричард Куайн,США,1954,6.9
"Папа, мама, служанка и я",комедия,Жан-Поль ле Шануа,Франция,1954,6.7
Срочно требуется песня,документальный,Станислав Чаплин,СССР,1967, 
Перед потопом,драматический фильм,Андре Кайат,"Франция,Италия",1954,7.0
Снег среди лета,"киноповесть, мелодрама",Георгий Овчаренко,СССР,1967, 
Песси и Иллюзия,фильм-балет,Яак Витикка,Финляндия,1954,4.6
Остров Сахалин,документальное кино,"Эльдар Рязанов,Василий Катанян",СССР,1954,6.3
Орден,Фильм-драма,Минору Сибуя,Япония,,7.1
Очевидное алиби,Фильм нуар,Джерри Хоппер,США,1954,6.5
Окно во двор,"Саспенс,[1]",Альфред Хичкок,США,1954,8.5
Огонёк,Фильм-драма,Миёдзи Иэки,Япония,, 
Один день в суде,,Стено,Италия,1954,6.5
Опасные тропы,приключенческий фильм,", ",СССР,1954,5.7
Облава на шоссе,Фильм нуар,Натан Юран,США,,6.3
"Нет лучше бизнеса, чем шоу-бизнес","музыкальная комедия,драма",Уолтер Лэнг,США,1954,6.4
Об этом забывать нельзя,социальная драма,Леонид Луков,СССР,1954,4.3
Непобеждённая,документальный,Нэнси Гамильтон,США,1954,7.2
Куотермасс 2,"фантастика,ужасы,триллер",Вэл Гест,Великобритания,1957,6.8
Крылья орлов,драма,Джон Форд,США,1957,6.6
Крик,драма,Микеланджело Антониони,"Италия,США",1957,7.6
"Красивые, но бедные",комедия,Дино Ризи,Италия,1957,6.3
Конец Чирвы-Козыря,экранизация,Василий Лапокныш,СССР,1957,6.4
Король в Нью-Йорке,комедия,Чарльз Чаплин,Великобритания,1957,7.0
Коммунист,Драма,Юлий Райзман,СССР,1957,7.2
Координаты неизвестны,"драма,военный фильм",Михаил Винярский,СССР,,6.0
Клевета,"Фильм нуар,Драма",Рой Роулэнд,США,1957,6.4
История Эстер Костелло,драма,Дэвид Миллер,Великобритания,1957,6.5
Испортит ли успех Рока Хантера?,"сатирическая,кинокомедия",Фрэнк Тэшлин,США,1957,6.9
К Чёрному морю,Кинокомедия,Андрей Тутышкин,СССР,1957,5.6
Канал,драма,Анджей Вайда,Польша,1957,7.9
"Каждый день, кроме Рождества",документальный,Линдсей Андерсон,Великобритания,1957,6.8
Земляничная поляна,драма,Ингмар Бергман,Швеция,В присутствии клоуна,8.1
И восходит солнце,драма,Генри Кинг,США,1957,6.2
Золотой Лотос,"мелодрама,[1]","Юэ Фэн, , , (",Гонконг,, 
Запятнанные ангелы,мелодрама,Дуглас Сирк,США,1957,7.1
«Золушка»,"мюзикл,семейный,фэнтези,экранизация,фэнтези",Ральф Нельсон,США,1957,7.6
Зубастая улыбка,короткометражный,Роман Полански,Польша,1957,5.7
Жестяная звезда,вестерн,Энтони Манн,США,1957,7.3
Забавная мордашка,"кинокомедия,мюзикл,мелодрама",Стэнли Донен,США,1957,7.0
Жёлтая ворона,драма,Хэйноскэ Госё,Япония,1957,7.0
Жажда,"драма,мелодрама",Гуру Датт,Индия,1957,8.3
Екатерина Воронина,мелодрама,Исидор Анненский,СССР,1957,6.5
Преступление и наказание,"криминальный фильм,драма","Жорж Лампен,[2]",Франция,27 ноября,6.6
Если бы камни говорили…,"драма,Экранизация",Юрий Лысенко,СССР,1957, 
"Приговоренный к смерти бежал, или Дух дышит, где хочет","драма,триллер,военный фильм",Робер Брессон,Франция,1956,8.2
Железный шериф,вестерн,Сидни Салкоу,США,1957,6.0
Поэт,драма,Борис Барнет,СССР,1956,7.0
Поцелуй перед смертью,триллер,Герд Освальд,США,1956,6.7
Полюшко-поле,драма,Вера Строева,СССР,1956,6.2
Преступность на улицах,"Фильм нуар,Социальная драма",Дональд Сигел,США,1956,6.6
Посеяли девушки лён,мелодрама,Владимир Корш-Саблин,СССР,1956,6.0
"Пожалуйста, убей меня",Фильм нуар,Питер Годфри,США,1956,6.5
Пауза,"драма, экранизация",Алексей Щербаков,СССР,1967, 
Пока город спит,"Фильм-нуар,Драма,Триллер",Фриц Ланг,США,1956,6.9
По течению,фильм-драма,Микио Нарусэ,Япония,1956,7.5
По ту сторону разумного сомнения,Фильм нуар,Фритц Ланг,США,1956,6.9
Пламя гнева,исторический фильм,Тимофей Левчук,СССР,1956, 
План преступления,"Фильм нуар,Триллер",Марк Стивенс,США,1956,6.6
Пленники Барсова ущелья,приключенческий фильм,Юрий Ерзинкян,,1956,8.0
Первые радости,кинороман,Владимир Басов,СССР,Википедия:К удалению/30 ноября 2021,7.1
"Папа, мама, моя жена и я",комедия,Жан-Поль ле Шануа,Франция,1956,6.1
Павел Корчагин,историко-революционная героико-романтическая драма,",",СССР,1956,6.5
Пламя островов,"Фильм нуар,Мелодрама",Эдвард Людвиг,США,1956,5.7
Ох уж эта девчонка!,"музыкальная,комедия",Мишель Буарон,Франция,1956,5.7
Очистить территорию,"драматический фильм,[1],военный фильм","Джозеф Пивни,[1],[2]",США,1956,6.2
Оттенок алого,Фильм нуар,Аллан Дуон,США,1956,6.5
Отважный,мелодрама,Ирвинг Раппер,США,1956,6.6
Осенние листья,"драматический фильм,романтический фильм",Роберт Олдрич,США,1956,6.8
Они были первыми,Киноповесть,Юрий Егоров,СССР,1956,6.6
Ночь и туман,драма,Ален Рене,Франция,1956,8.6
Огненные девы из далёкого космоса,научная фантастика,Сай Рот,Великобритания,1956,2.5
