Название,Жанр,Режиссер,Страна,Год,IMDB
Уходя-уходи,"комедия,мелодрама",Виктор Трегубович,СССР,1978,6.7
Укуренные,комедия,Лу Адлер,США,1978,6.9
Улыбающийся гордый странник,"боевик,приключенческий фильм",[zh],Гонконг,1978,6.3
Умей сказать «нет!»,драма,Ходжакули Нарлиев,СССР,1978, 
Ты не один,драма,"Лассе Нилсен  , Эрнст Йохансен",Дания,1978,7.1
Тридцать шесть ступеней Шаолиня,"боевик,приключенческий фильм,драма","Лю Цзялян, , , (",Гонконг,1978,7.6
Трасса,"драма,мелодрама","Наталья Трощенко,Анатолий Вехотко","СССР,Чехословакия",,5.2
Территория,"приключенческий фильм,драма",Александр Сурин,СССР,1978,6.7
Трактир на Пятницкой,детектив,Александр Файнциммер,СССР,,7.0
Тени знойного лета,драма,Франтишек Влачил,Чехословакия,1978,7.4
Тепло,комедия,Владимир Янчев,Болгария,1978,8.5
Театр,драма,Янис Стрейч,СССР,1978,7.6
,фильм ужасов,Рене Кардона мл.,"Мексика,Италия",1978,4.0
"Такая, как ты есть","драма,мелодрама",Альберто Латтуада,"Италия,Испания",1978,6.3
Супермен,"супергеройский фильм,фантастика",Ричард Доннер,"[3],[3],[3],[3]",Кинг-Конг,7.4
Сюда не залетали чайки,"драма,киноповесть",Булат Мансуров,СССР,, 
Супруги Орловы,"драма, экранизация",Марк Донской,СССР,1978,7.3
Старше на 10 минут,документальный,Герц Франк,СССР,1978,7.2
Старомодная комедия,мелодрама,",",СССР,,7.5
Старое ружьё,"драма,триллер,военный фильм",Робер Энрико,"Франция,Германия",22 августа,7.5
Соль земли,,Искандер Хамраев,СССР,1978,6.6
Снег в трауре,психологическая драма,Юрий Ерзинкян,СССР,1978,5.1
Смилуйся над нами,драма,Альгирдас Араминас,СССР,1978,7.5
Случайные пассажиры,"драма, экранизация",Михаил Ордовский,СССР,1978,6.8
Смертельный спорт,фантастика,Николас Никифор,США,1978,4.0
Смерть на Ниле,детектив,Джон Гиллермин,Великобритания,1978,7.2
След на земле,драма,Наум Бирман,СССР,1978,5.4
Следствие ведут ЗнаТоКи.,Детектив,Вячеслав Бровкин,СССР,1978,6.5
